Refs,Qty,Value,Footprint,Manufacturer,MPN,LCSC_PN,Mouser_PN,Description
C712,1,4.7nF,0603,TDK,CGA3E2C0G1H822J080AE,C2894191,810-CGA3E2C0G1H822J8,"Capacitor, MLCC, NP0, 50V, 5%, 4.7nF, 0603"
C1211,1,220pF,0603,TDK,C1608C0G1H221F080AA,C106210,810-C1608C0G1H221F,"Capacitor, MLCC, NP0, 50V, 5%, 220pF, 0603"
C1215,1,1nF,0402,Murata,GRM155R61E105KE11D,C301928,81-GRM155R61E105KE1D,"Capacitor, MLCC, X5R, 25V, 5%, 1nF, 0402"
"C1406,C1407,C1506,C1507,C1606,C1607,C1706,C1707,C1806,C1807,C1906,C1907",12,150pF,0603,Kyocera AVX,06033A151FAT2A,C107038,581-06033A151FAT2A,"Capacitor, MLCC, NP0, 50V, 5%, 150pF, 0603"
C2033-C2036,4,100nF,0402,,,C1525,,"Capacitor, MLCC, X7R, 50V, 5%, 100nF, 0402"
D101,1,TPD1E0B04DPY,D_SOD-882,,,C913830,,"0.13-pF, ±3.6-V, ±8-kV ESD protection diode in 0402 & 0201 packages for USB-C & Antenna"
D301,1,SP0402B-ELC-01ETG,0402,LITTELFUSE,SP0402B-ELC-01ETG,C1974049,576-SP0402BELC-01ETG,ESD Suppressor Diode TVS Bi-Dir 7V 2-Pin DFN T/R
"D1201,D1203",2,ESD9B5.0ST5G,D_SOD-923,,,C111566,,"ESD protection diode, 5.0Vrwm, SOD-923"
D1202,1,SMBJ15A,D_SMB,,SMBJ15A,C83846,,600W 14V transient protection zener diode
"FB201,FB301,FB302,FB1201,FB1301",5,600,0603,Laird Technologies,MI0603J601R-10,C2441365,875-MI0603J601R-10,"Ferrite bead, small symbol,TDK KPZ1608SHR601ATD25 600 ohm ferrite bead 1A"
GD101,1,350V,GDT3535S1RP,Bourns,GDT35-35-S1-RP,C19947197,652-GDT35-35-S1-RP,Gas Discharge Tube with 3 Pins
J101,1,SMA,733910083,MOLEX,733910083,C493445,,"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)"
J201,1,68710814022,68710814022,MOLEX,5034800800,C293338,,Wurth Elektronik 687 Series 0.5mm 8 Way 1 Row Straight PCB Socket Surface Mount Wire to Board
J202,1,FTSH-105-01-L-DV-K,FTSH10501LDVK,,,C5155080,,"Cortex Debug Connector, standard ARM Cortex-M SWD and JTAG interface SamTec FTSH-105-01-L-DV-K"
J1201,1,pwr+data,USB_C_Receptacle_HRO_TYPE-C-31-M-12-bursted,Korean HROparts Elec,TYPE-C-31-M-12,C165948,,USB 2.0-only 16P Type-C Receptacle connector
"L301,L302,L701",3,1.5uH,1210,TDK,NLV32T-1R5J-EF,C286756,,"Inductor with ferrite core, small symbol"
L702,1,220nH,1210,TDK,NLV32T-2R7J-EF,C295117,,"Inductor with ferrite core, small symbol"
L1201,1,1uH,IND_XGL4030_COC,Coilcraft,XGL4030-102MEC,C6336766,,Inductor
L1202,1,2.2uH,0805,muRata,,C86089,,"Inductor, small symbol"
R101,1,100k,0603,Panasonic,ERJ-P08J104V,C2077703,667-ERJ-P08J104V,"Resistor, Thin Film, 0.1%, 100k, 0603"
"R201,R203,R206,R207,R219,R220,R401,R501,R601,R1204,R1401-R1404,R1501-R1504,R1601-R1604,R1701-R1704,R1801-R1804,R1901-R1904",34,10k,0402,,,C723366,,"Resistor, Thin Film, 0.1%, 10k, 0402"
"R202,R208-R218",12,22,0402,,,C4258780,,"Resistor, Thin Film, 0.1%, 22, 0402"
"R204,R1206",2,22.1k,0402,,,C284424,,"Resistor, Thin Film, 0.1%, 22.1k, 0402"
R205,1,8.06k,0603,,,C863964,,"Resistor, Thin Film, 0.1%, 8.06k, 0603"
R302-R307,6,47k,0402,,,C854337,,"Resistor, Thin Film, 0.1%, 47k, 0402"
"R308,R309",2,33,0402,,,C854277,,"Resistor, Thin Film, 0.1%, 33, 0402"
"R803,R805",2,34.4,0402,,,C2503774,,"Resistor, Thin Film, 0.1%, 34.4, 0402"
R804,1,562,0402,,,C284620,,"Resistor, Thin Film, 0.1%, 562, 0402"
"R903,R905",2,66.5,0402,,,C2533356,,"Resistor, Thin Film, 0.1%, 66.5, 0402"
R904,1,267,0402,,,C2532743,,"Resistor, Thin Film, 0.1%, 267, 0402"
"R1003,R1005",2,120,0402,,,C284306,,"Resistor, Thin Film, 0.1%, 120, 0402"
R1004,1,107,0402,,,C2532622,,"Resistor, Thin Film, 0.1%, 107, 0402"
"R1103,R1105",2,176,0402,,,C2500827,,"Resistor, Thin Film, 0.1%, 176, 0402"
R1104,1,25.5,0402,,,C284460,,"Resistor, Thin Film, 0.1%, 25.5, 0402"
"R1201,R1207",2,1k,0603,,,C136974,,"Resistor, Thin Film, 0.1%, 1k, 0603"
"R1202,R1208",2,5.1k,0603,,,C854378,,"Resistor, Thin Film, 0.1%, 5.1k, 0603"
R1203,1,57.6k,0402,,,C517765,,"Resistor, Thin Film, 0.1%, 57.6k, 0402"
"R1205,R1301,R1305-R1307",5,100k,0402,,,C728576,,"Resistor, Thin Film, 0.1%, 100k, 0402"
"R1302-R1304,R1308,R1405,R1406,R1505,R1506,R1605,R1606,R1705,R1706,R1805,R1806,R1905,R1906",16,330,0402,,,C854274,,"Resistor, Thin Film, 0.1%, 330, 0402"
U201,1,STM32H753VITx,LQFP-100_14x14mm_P0.5mm,,,C730206,,"STMicroelectronics Arm Cortex-M7 MCU, 2048KB flash, 1024KB RAM, 480 MHz, 1.71-3.6V, 82 GPIO, LQFP100"
U202,1,USB3343,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,SMSC,USB3343-CP-TR,C633347,,"Hi-Speed USB ULPI Transceiver, QFN-24"
U301,1,OPA1692IDGK,VSSOP-8_3x3mm_P0.65mm,,,C2876472,,"Dual SoundPlus Low Power, Low Noise & Low Distortion Audio Operational Amplifiers, VSSOP-8"
U302,1,AK5578EN,QFN50P900X900X100-65N,Asahi Kasei Microdevices,AK5578EN,C2651626,412-AK5578EN,PREMIUM ADC GEN3 32BIT 768KHZ 12
"U401,U501,U601",3,TS3A4751RUCR,TS3A4751-RUC14,,,C527570,,
"U701-U712,U801,U802,U901,U902,U1001,U1002,U1101,U1102",20,AS183-92LF,SOT65P220X110-6N,Skyworks,AS183-92LF,C2654768,873-AS183-92LF,RF Switch ICs .3-2500MHz IL .3dB IP3 +43dBm
U1201,1,LMR51430,SOT-23-6,,,C5185863,,"4.5-V to 36-V, 3-A synchronous buck converter with 40-µA IQ, SOT-23-6"
U1202,1,TPS61023,SOT-563,,,C919459,,3.7A boost converter with 0.5V ultra-low input voltage
U1203,1,TPS7A2050PDBVR,DBV0005A-MFG,,,C36907702,,"300 mA Low Dropout Voltage Regulator, Fixed Output, 1.6..6.0Vin, Low-Noise (7μV RMS), 6.5μA IQ LDO, X2SON-5"
"U1204,U1206",2,TPS22918DBVR,SOT-23-6,Texas Instruments,TPS22918DBVR,C131941,595-TPS22918DBVR,"5.5V, 2A, 52m load switch with adjustable rise time and adjustable quick output discharge"
U1207,1,TPS74612PQWDRBRQ1,SON65P300X300X100-9N-D,Texas Instruments,TPS74612PQWDRBRQ1,C2868254,595-PS74612PQWDRBRQ1,"LDO Voltage Regulators Automotive 1-A, low-IQ, high-PSRR, low-dropout (LDO) voltage regulator with power good 8-SON -40 to 125"
U1208,1,TPS7A2033PDBVR,DBV0005A-MFG,,,C36907702,,"300 mA Low Dropout Voltage Regulator, Fixed Output, 1.6..6.0Vin, Low-Noise (7μV RMS), 6.5μA IQ LDO, X2SON-5"
U1301,1,ICE40UP5K-SG48I,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,,,C2678152,,"iCE40 UltraPlus FPGA, 5280 LUTs, 1.2V, 48-pin QFN"
"U1401,U1501,U1601,U1701,U1801,U1901",6,MAX9939AUB+T,21-0061L_MXM,,,C2057611,,
U2001-U2004,4,STM32C011F4U6TR,QFN50P300X300X60-20N-D,STMicro,ST STM32C011F4U6TR,C5456188,,"STMicroelectronics Arm Cortex-M0+ MCU, 16-32KB flash, 6KB RAM, 48 MHz, 2.0-3.6V, 18 GPIO, UFQFPN20"
"Y201,Y202",2,26MHz,Crystal_SMD_2520-4Pin_2.5x2.0mm,EATON,E2X260181G01,C712894,504-E2X260181G01,26MHz 18pF 10PPM
Y1301,1,40MHz,ECSTXO201633400TR,ECS,ECS-TXO-2016-33-400-TR,C2451471,520-TXO-2016-33-400T,TCXO Oscillators 40MHz 3.3V 2.5ppm -40C +85C
